RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
132,15718369,Kaodilinakachukwu,796.3712594961205,Germany,Female,33.0,9,140184.74671476462,1,1,1,114707.21292900243,0
133,15677871,Cocci,665.753925725478,France,Male,38.0,9,110903.75094727027,1,1,1,36847.326475128815,0
134,15642004,Alekseeva,695.4718486127035,France,Male,25.0,1,1608.783908100634,2,0,1,20350.26292167427,0
135,15712543,Chinweike,770.6115153153239,Germany,Male,39.0,7,124523.8149820168,2,1,1,121925.6100119091,0
136,15584518,Arthur,619.9986881003508,Germany,Female,50.0,5,149767.06592815433,2,1,1,31084.874711755278,0
137,15802381,Li,445.3349341532753,Germany,Female,34.0,5,58253.54771961663,1,0,1,164199.07893511085,0
138,15610156,Ma,630.5587696758864,France,Male,40.0,2,134161.4761130578,1,0,1,92974.55198293687,0
139,15594408,Chia,600.2703443473933,Spain,Female,48.0,2,204546.26758420313,1,1,0,71572.89069539215,1
140,15640905,Vasin,554.382713671321,Spain,Female,35.0,1,124588.08720335548,2,0,1,7375.928684924884,1
141,15698932,Groves,760.5491986920827,Germany,Male,44.0,10,138960.9894566621,1,1,0,190487.39803630867,0
142,15724944,Tien,689.1428550856485,France,Male,34.0,7,-2220.090187025463,2,1,1,185495.229518758,0
143,15628145,Forwood,649.8503353087754,France,Female,43.0,5,127646.96010032322,1,1,1,192722.59907943598,0
144,15713483,Greeves,796.692677170646,Spain,Male,52.0,2,12396.371676463134,1,1,0,164977.13765392077,1
145,15612350,Taylor,696.1976558849685,France,Female,31.0,5,34356.8243401218,1,1,0,125168.00147917774,1
146,15800703,Madukwe,500.63645743554616,Spain,Female,21.0,5,109432.0445837253,1,1,1,50063.77786943021,0
147,15705707,Bennelong,610.2609857824384,Spain,Female,29.0,8,128877.85204947529,2,1,0,140785.82522874305,0
148,15754105,Olisanugo,623.5908677383145,France,Male,37.0,5,108288.15672873653,1,0,0,27553.052448336,0
149,15703264,Chukwufumnanya,745.4388313123379,France,Male,44.0,9,125013.51744859079,1,1,0,78276.92254903537,0
150,15794413,Harris,421.9396934646637,France,Male,32.0,0,-10078.960868002216,2,0,1,2142.5047218143036,0
151,15650237,Morgan,759.0098570069176,Spain,Female,32.0,7,5889.353928107418,2,1,0,90152.96554817808,0
152,15759618,Alexeeva,541.9289641899395,France,Female,48.0,9,801.6533384489521,1,1,0,150727.38180585942,1
153,15811589,Metcalfe,702.3995055684302,Spain,Male,42.0,8,-111.727300785024,2,1,0,182380.2333707218,0
154,15689044,Humphries,543.64507394322,France,Male,37.0,2,123852.55350845304,1,1,0,95032.50261622378,0
155,15709368,Milne,619.8614494659737,France,Female,43.0,6,3092.6943159400184,2,1,1,107201.07461531789,0
156,15679145,Chou,691.7129716394727,Spain,Male,,7,10362.373134703044,1,1,0,22142.45131933147,1
157,15655007,Li,795.315490222895,France,Female,33.0,7,-5246.8698983068025,2,0,0,81952.67258537673,0
158,15623595,Clayton,595.4766584182357,Spain,Female,28.0,2,2706.269407102749,2,1,1,96534.5845712369,0
159,15589975,Maclean,622.173930055947,France,Female,,6,93362.62362543971,1,0,1,108910.84430840175,0
160,15804017,Chigolum,644.1310721726766,Germany,Female,33.0,4,110254.62848762746,1,0,0,112545.841870479,0
161,15692132,Wilkinson,697.5063665954535,Spain,Female,22.0,6,91998.69545993919,1,0,1,82239.68073527921,0
162,15641122,Wei,699.741692074849,France,Male,30.0,2,11190.160533876639,2,1,0,85033.13745917902,0
163,15630910,Treacy,823.1719115801482,France,Female,49.0,7,110557.20176186305,1,0,0,45531.35933956716,0
164,15680772,Hu,704.5863536329657,Spain,Female,36.0,2,12978.629162131976,2,1,1,105982.2368872423,0
165,15658929,Taverner,702.2675225848864,Spain,Male,29.0,0,132333.18235857858,1,1,0,57676.23620343416,1
166,15585388,Sherman,668.25561853873,Germany,Male,31.0,9,122431.45879925252,2,1,1,140078.03629032982,0
167,15724623,Taubman,720.4412031998897,Germany,Female,24.0,7,124993.46307453777,1,1,0,161458.9816000994,1
168,15588537,Robinson,652.935859653079,Spain,Female,41.0,9,105096.93723677323,1,1,0,194562.62376965734,0
169,15574692,Pinto,662.0922376799426,Spain,Female,39.0,2,986.6150955328039,2,1,0,42176.40383317711,1
170,15611325,Wood,666.9252767128503,Germany,Male,24.0,9,64291.22521478312,2,0,0,55914.9937725472,0
171,15587562,Hawkins,466.2097114074895,France,Female,29.0,4,127135.61761325986,1,1,0,163044.73819308373,0
172,15613172,Sun,611.6837943006913,Germany,Male,,5,95760.8894608949,2,1,0,157481.10145471845,0
173,15651022,Yost,478.45796581171794,Germany,Male,44.0,10,119745.89710491293,1,1,0,971.3556710105854,1
174,15586310,Ting,584.823039496333,France,Male,30.0,4,165875.3133655534,1,1,0,108709.07138017772,0
175,15625524,Rowe,517.5338159866003,France,Male,40.0,5,2966.525570051318,2,1,1,152526.725710405,0
176,15755209,Fu,500.54366498072045,Spain,Female,35.0,7,139685.72975338312,1,1,1,29319.051340042846,0
177,15645248,Ho,510.2600378375581,France,Female,30.0,0,3538.794145558931,2,1,1,134101.20395675208,0
178,15790355,Okechukwu,635.0706815431463,Germany,Male,36.0,5,197684.8564254078,2,0,0,181582.43413243917,0
179,15762615,Campbell,591.7068633352408,Spain,Female,40.0,8,116379.17389201753,1,0,1,93959.94166809948,0
180,15625426,Ashbolt,808.4033833317924,Germany,Female,,3,165070.2936847768,1,1,0,4730.123375339722,1
181,15716334,Rozier,862.5133469553002,Spain,Female,45.0,2,118916.65306002813,1,1,1,16218.469943105221,0
182,15789669,Hsia,492.8568488716744,France,Male,65.0,2,5249.959423474582,2,1,1,47177.66039910432,0
183,15621075,Ogbonnaya,756.5821500387779,Germany,Female,45.0,1,160434.19616733745,2,1,0,172995.11685731733,0
184,15810845,T'ang,645.6494483048637,France,Male,42.0,2,-10305.031667453764,2,1,1,58966.21846286249,0
185,15719377,Cocci,799.5307442934829,France,Female,50.0,4,-4636.510730251286,1,1,1,9851.83386289025,1
186,15654506,Chang,528.2800098818418,France,Male,32.0,8,-3199.0791808589474,2,1,0,98788.23020054931,0
187,15771977,T'ao,739.4647524914708,France,Female,,1,100361.93870809446,1,1,0,194595.49227019842,0
188,15708710,Ford,523.5434217468626,Spain,Female,37.0,0,1822.545472964528,1,0,1,137101.64248063017,0
189,15726676,Marshall,599.0641256386318,Spain,Male,30.0,5,12527.218489875086,2,0,1,195617.38514680177,0
190,15587421,Tsai,656.7030555062827,Germany,Female,34.0,7,113798.50603444414,2,1,0,154195.09199289654,0
191,15726931,Onwumelu,706.0697009586595,France,Female,41.0,8,67048.37354359677,2,0,0,92057.6748820696,1
192,15771086,Graham,529.1279758864694,France,Female,,3,76976.20163723048,2,1,0,13645.991257790844,0
193,15756850,Golovanov,483.28187488260403,France,Male,,1,-983.977582064847,2,0,0,115812.60257400396,0
194,15702741,Potts,576.0852244257603,France,Male,32.0,8,100524.19266039383,1,1,0,91860.84956802682,0
195,15679200,Crawford,583.4636185170236,Spain,Male,29.0,9,55642.63708480974,2,1,0,128946.21228585484,0
196,15594815,Aleshire,814.7063475945768,France,Male,35.0,3,164201.6263397833,1,1,1,-3263.453009089137,0
197,15635905,Moran,598.3228512759774,Spain,Female,,6,6669.80625077229,2,1,1,45940.09492300922,0
198,15777892,Samsonova,724.0745021189105,Germany,Male,37.0,3,105802.81048783386,1,1,1,153240.01192971188,0
199,15656176,Jenkins,502.16417436892004,France,Male,57.0,10,1132.0111573604681,2,1,1,43168.26362172953,0
200,15811127,Volkov,498.1405940433875,France,Male,35.0,6,95864.57595385847,1,1,0,11100.27298026675,0
201,15604482,Chiemezie,857.1557472069658,Spain,Male,30.0,2,138406.84053144878,1,1,1,4928.823885406015,0
202,15622911,Jude,770.2156905273646,France,Male,42.0,4,111197.51842106588,1,0,1,122258.46661233719,0
203,15600974,He,537.6610248635056,Spain,Male,50.0,5,12422.344578285647,1,0,1,142670.3877927298,1
204,15727868,Onuora,732.0760410406981,France,Female,38.0,2,128413.33440911365,2,1,1,14636.164122084261,1
205,15627801,Ginikanwa,484.4466126408581,Spain,Male,33.0,3,171507.10891158096,1,1,0,96482.42631047114,0
206,15773039,Ku,531.2434992016974,France,Male,37.0,3,10776.658010519226,1,1,1,178248.36683329346,0
207,15755262,McDonald,618.3007053441731,Spain,Female,41.0,3,81550.95035163965,1,0,0,202480.66196258992,1
208,15679531,Collins,628.2757190182442,France,Male,34.0,5,130196.93937926882,1,1,1,152275.9998894508,0
209,15684181,Hackett,653.300953726121,France,Male,45.0,5,1153.830207355782,1,1,0,136975.97204034805,1
210,15612087,Dike,748.0546298130944,France,Male,45.0,2,101005.14919445696,1,0,1,156044.08841438554,0
211,15752047,Trevisano,700.4178102138633,Germany,Male,33.0,2,156986.50929047732,2,1,0,168128.38543386268,0
212,15624592,Tan,625.7113128036119,France,Male,31.0,8,6893.953957939411,2,1,1,168103.4834808717,0
213,15573152,Glassman,639.0800352698641,France,Female,41.0,9,-2331.703019308712,2,0,0,88853.45101859659,0
214,15594917,Miller,689.027825026116,France,Female,34.0,1,63596.83585255109,1,1,1,40598.42736392462,0
215,15785542,Kornilova,565.6946151071932,Germany,Male,26.0,4,105685.2090323762,2,0,0,55579.514804494946,0
216,15723488,Watson,683.1793844098654,Germany,Male,47.0,7,103960.39700474462,1,0,1,158885.53534937627,1
217,15680920,Marchesi,679.5434957092486,France,Male,,7,53177.62848437055,1,1,0,133467.8420816833,0
218,15786308,Millar,725.2636278651999,Spain,Female,,9,372.7201342839571,2,0,0,177297.05980901,0
219,15659366,Shih,797.2927290434179,France,Male,43.0,1,113419.33621321099,2,1,0,27952.481230236812,1
220,15774854,Fuller,593.6374827877264,France,Male,54.0,8,3240.1155412421836,1,1,1,27596.15349100776,1
221,15725311,Hay,772.2931713334701,France,Female,31.0,9,121951.56513599487,2,1,1,98919.94410220721,0
222,15787155,Yang,476.65469614816504,Spain,Male,30.0,7,-606.3635226297973,1,0,1,122928.34422640987,0
223,15727829,McIntyre,580.7252038074903,France,Male,42.0,2,-2537.886855790298,2,1,1,168086.8242424536,0
224,15733247,Stevenson,817.745682576207,France,Male,,10,-552.9504328563044,1,1,0,4479.623890919598,1
225,15568748,Poole,661.5613626842114,Germany,Male,45.0,6,98733.38420073697,1,1,1,109789.02204681678,1
226,15699029,Bagley,691.7790119393474,France,Male,37.0,4,177873.3325091716,2,1,0,196192.2733950304,0
227,15774393,Ch'ien,695.2856003819093,France,Female,30.0,9,580.5377457746999,2,1,1,25188.87910261891,0
228,15676895,Cattaneo,525.4451044414138,Germany,Female,39.0,6,87680.526260844,3,1,1,88788.37701778983,1
229,15637753,O'Sullivan,736.6939258148007,Germany,Male,50.0,2,101282.2006531628,1,1,0,76614.90514049509,1
230,15605461,Lucas,607.5919549786936,Germany,Female,29.0,3,125736.98349884366,1,1,0,63663.407967870655,0
231,15808473,Ringrose,658.3926673656572,France,Male,72.0,1,1949.0750501884086,2,0,1,110840.8523236379,0
232,15627000,Freeman,614.3291717916395,France,Male,40.0,0,1143.3061632608487,2,1,0,63770.38954131249,0
233,15787174,Sergeyev,512.9114367980762,France,Female,37.0,1,-5711.889674316812,2,0,1,159851.9280561167,0
234,15723886,Fiore,753.9679930478837,Germany,Male,20.0,3,117093.15616581365,2,0,1,149194.64624040393,0
235,15704769,Smith,627.8788817865066,France,Female,67.0,5,126461.47810684855,2,0,1,95210.42284895743,0
236,15772896,Dumetochukwu,775.6783804463603,Germany,Male,42.0,6,107345.70674237635,1,1,0,33636.71673341239,1
237,15711540,Pacheco,671.497148266848,France,Female,29.0,2,-5715.872676001769,1,1,1,146305.40304955645,0
238,15764866,Synnot,542.7290862953885,Germany,Female,43.0,3,110987.25489332702,3,1,0,56427.34675152764,1
239,15794056,Johnston,654.7642707046323,France,Female,46.0,2,6101.199774993856,3,1,0,90217.26829943506,1
240,15795149,Stevens,720.0486666959246,France,Male,28.0,2,91461.8880063457,2,0,1,161928.06823031662,0
241,15812009,Grant,646.149585231346,Spain,Male,38.0,4,2851.4605572986125,2,1,0,136068.4423364293,0
242,15651001,Tsao,722.705271170662,Germany,Female,,5,127022.63998772697,1,1,0,125893.46341049293,0
243,15813844,Barnes,713.0997455796091,France,Male,37.0,8,107021.17250874157,2,0,1,76709.24911490156,0
244,15596175,McIntosh,676.3151038834023,Germany,Male,67.0,6,110641.17605950689,1,1,1,47109.78909555943,1
245,15576269,Madison,498.99407185888447,Spain,Male,34.0,7,-3111.096002520458,2,1,0,66528.2482836955,0
246,15797219,Ifesinachi,628.3099752831811,France,Female,40.0,10,121738.75896840323,1,1,0,133741.2047108785,1
247,15685500,Glazkov,762.5010937767809,Germany,Male,26.0,7,157751.84256804915,2,1,0,80422.76401091805,0
248,15599792,Dimauro,531.9334153485258,France,Female,26.0,1,3314.916624207457,2,1,1,201594.42673470883,0
249,15657566,Wieck,669.309084805622,Germany,Male,24.0,8,118868.1167732268,1,1,1,159018.2294535028,0
250,15772423,Liao,747.0996342192191,Germany,Male,54.0,8,126874.87077620263,1,1,0,135140.17641297664,1
251,15628112,Hughes,745.7823209132991,Germany,Female,,5,83036.04490464277,1,0,0,97625.29252408376,0
